gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	ERR4998601_000000000009	0	525	f	1	1	prodigal	v2.6.3
1	ERR4998601_000000000009	562	940	r	0	1	prodigal	v2.6.3
2	ERR4998601_000000000009	965	2192	f	1	1	prodigal	v2.6.3
3	ERR4998601_000000000292	1	298	f	1	1	prodigal	v2.6.3
4	ERR4998601_000000000292	315	1197	f	0	1	prodigal	v2.6.3
5	ERR4998601_000000000292	1756	1996	f	0	1	prodigal	v2.6.3
6	ERR4998601_000000000292	1995	2403	f	0	1	prodigal	v2.6.3
7	ERR4998601_000000000292	2359	2782	r	0	1	prodigal	v2.6.3
8	ERR4998601_000000000292	3325	3586	f	0	1	prodigal	v2.6.3
9	ERR4998601_000000000292	3582	3987	f	0	1	prodigal	v2.6.3
10	ERR4998601_000000000292	4547	4700	f	1	1	prodigal	v2.6.3
11	ERR4998601_000000000488	0	1179	f	1	1	prodigal	v2.6.3
12	ERR4998601_000000000488	1175	1778	f	0	1	prodigal	v2.6.3
13	ERR4998601_000000000488	1782	2148	f	1	1	prodigal	v2.6.3
14	ERR4998601_000000000737	297	1920	f	0	1	prodigal	v2.6.3
15	ERR4998601_000000000737	2014	2221	f	1	1	prodigal	v2.6.3
16	ERR4998601_000000000981	2	266	r	1	1	prodigal	v2.6.3
17	ERR4998601_000000000981	596	2156	f	0	1	prodigal	v2.6.3
18	ERR4998601_000000000981	2243	2474	f	1	1	prodigal	v2.6.3
19	ERR4998601_000000001177	0	900	f	1	1	prodigal	v2.6.3
20	ERR4998601_000000001177	905	1331	f	0	1	prodigal	v2.6.3
21	ERR4998601_000000001177	1327	2407	f	0	1	prodigal	v2.6.3
22	ERR4998601_000000001177	2503	3124	f	0	1	prodigal	v2.6.3
23	ERR4998601_000000001405	1	730	r	1	1	prodigal	v2.6.3
24	ERR4998601_000000001405	734	1451	r	0	1	prodigal	v2.6.3
25	ERR4998601_000000001405	1428	2457	r	1	1	prodigal	v2.6.3
26	ERR4998601_000000001606	2	161	r	1	1	prodigal	v2.6.3
27	ERR4998601_000000001606	238	568	r	0	1	prodigal	v2.6.3
28	ERR4998601_000000001606	729	1743	f	0	1	prodigal	v2.6.3
29	ERR4998601_000000001606	1809	2079	r	1	1	prodigal	v2.6.3
30	ERR4998601_000000001821	1	784	r	1	1	prodigal	v2.6.3
31	ERR4998601_000000001821	1136	1514	f	0	1	prodigal	v2.6.3
32	ERR4998601_000000001821	1627	4366	f	1	1	prodigal	v2.6.3
33	ERR4998601_000000002039	1	1576	r	1	1	prodigal	v2.6.3
34	ERR4998601_000000002039	1753	2527	r	1	1	prodigal	v2.6.3
35	ERR4998601_000000002232	0	1767	f	1	1	prodigal	v2.6.3
36	ERR4998601_000000002232	1887	2019	r	0	1	prodigal	v2.6.3
37	ERR4998601_000000002232	2082	3150	f	1	1	prodigal	v2.6.3
38	ERR4998601_000000002461	1153	2254	r	0	1	prodigal	v2.6.3
39	ERR4998601_000000002461	2250	3006	r	0	1	prodigal	v2.6.3
40	ERR4998601_000000002461	3002	4328	r	0	1	prodigal	v2.6.3
41	ERR4998601_000000002461	4760	5042	r	0	1	prodigal	v2.6.3
42	ERR4998601_000000002461	5069	5387	f	0	1	prodigal	v2.6.3
43	ERR4998601_000000002461	5439	6651	f	0	1	prodigal	v2.6.3
44	ERR4998601_000000002461	6667	7756	f	0	1	prodigal	v2.6.3
45	ERR4998601_000000002461	7752	8679	f	0	1	prodigal	v2.6.3
46	ERR4998601_000000002461	8678	9554	f	0	1	prodigal	v2.6.3
47	ERR4998601_000000002461	9606	10359	f	0	1	prodigal	v2.6.3
48	ERR4998601_000000002461	10363	11923	f	0	1	prodigal	v2.6.3
49	ERR4998601_000000002461	11919	12714	f	0	1	prodigal	v2.6.3
50	ERR4998601_000000002461	12896	13916	f	0	1	prodigal	v2.6.3
51	ERR4998601_000000002461	13921	15001	f	0	1	prodigal	v2.6.3
