gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	ERR4998600_000000000008	1	79	r	1	1	prodigal	v2.6.3
1	ERR4998600_000000000008	81	1134	r	0	1	prodigal	v2.6.3
2	ERR4998600_000000000008	1191	2271	r	0	1	prodigal	v2.6.3
3	ERR4998600_000000000008	2305	2737	r	1	1	prodigal	v2.6.3
4	ERR4998600_000000000168	0	450	r	1	1	prodigal	v2.6.3
5	ERR4998600_000000000168	391	958	r	0	1	prodigal	v2.6.3
6	ERR4998600_000000000168	954	1464	r	0	1	prodigal	v2.6.3
7	ERR4998600_000000000168	1427	2339	r	0	1	prodigal	v2.6.3
8	ERR4998600_000000000168	2341	2785	r	0	1	prodigal	v2.6.3
9	ERR4998600_000000000168	2798	3044	r	0	1	prodigal	v2.6.3
10	ERR4998600_000000000168	3216	4602	r	0	1	prodigal	v2.6.3
11	ERR4998600_000000000311	86	1655	r	0	1	prodigal	v2.6.3
12	ERR4998600_000000000311	1769	2261	f	1	1	prodigal	v2.6.3
13	ERR4998600_000000000469	606	1194	r	0	1	prodigal	v2.6.3
14	ERR4998600_000000000469	1239	1794	r	0	1	prodigal	v2.6.3
15	ERR4998600_000000000469	2090	4022	f	0	1	prodigal	v2.6.3
16	ERR4998600_000000000469	4118	4991	f	0	1	prodigal	v2.6.3
17	ERR4998600_000000000469	5053	6496	f	0	1	prodigal	v2.6.3
18	ERR4998600_000000000469	6492	8640	f	0	1	prodigal	v2.6.3
19	ERR4998600_000000000469	8694	9168	f	0	1	prodigal	v2.6.3
20	ERR4998600_000000000469	9242	10649	f	0	1	prodigal	v2.6.3
21	ERR4998600_000000000469	10857	12495	f	0	1	prodigal	v2.6.3
22	ERR4998600_000000000469	12595	13537	f	0	1	prodigal	v2.6.3
23	ERR4998600_000000000469	13548	15972	f	0	1	prodigal	v2.6.3
24	ERR4998600_000000000469	15990	16158	r	1	1	prodigal	v2.6.3
25	ERR4998600_000000000623	0	408	f	1	1	prodigal	v2.6.3
26	ERR4998600_000000000623	426	1401	f	0	1	prodigal	v2.6.3
27	ERR4998600_000000000623	1397	2282	r	0	1	prodigal	v2.6.3
28	ERR4998600_000000000623	2282	2459	r	1	1	prodigal	v2.6.3
29	ERR4998600_000000000749	1	2197	f	1	1	prodigal	v2.6.3
30	ERR4998600_000000000749	2209	2554	f	0	1	prodigal	v2.6.3
31	ERR4998600_000000000749	2550	3297	f	1	1	prodigal	v2.6.3
32	ERR4998600_000000000866	0	2028	r	1	1	prodigal	v2.6.3
33	ERR4998600_000000000966	1	826	r	1	1	prodigal	v2.6.3
34	ERR4998600_000000000966	789	1767	r	0	1	prodigal	v2.6.3
35	ERR4998600_000000000966	1732	2977	r	1	1	prodigal	v2.6.3
36	ERR4998600_000000001087	0	504	f	1	1	prodigal	v2.6.3
37	ERR4998600_000000001087	593	977	f	0	1	prodigal	v2.6.3
38	ERR4998600_000000001087	1679	1916	r	0	1	prodigal	v2.6.3
39	ERR4998600_000000001087	1902	2079	r	0	1	prodigal	v2.6.3
40	ERR4998600_000000001087	2256	2379	r	1	1	prodigal	v2.6.3
41	ERR4998600_000000001226	0	381	r	1	1	prodigal	v2.6.3
42	ERR4998600_000000001226	388	583	r	0	1	prodigal	v2.6.3
43	ERR4998600_000000001226	768	2046	f	0	1	prodigal	v2.6.3
44	ERR4998600_000000001226	2070	2910	r	0	1	prodigal	v2.6.3
45	ERR4998600_000000001226	2928	3333	r	0	1	prodigal	v2.6.3
46	ERR4998600_000000001226	3406	4225	f	0	1	prodigal	v2.6.3
47	ERR4998600_000000001226	4404	4740	f	0	1	prodigal	v2.6.3
48	ERR4998600_000000001226	4834	5584	f	1	1	prodigal	v2.6.3
49	ERR4998600_000000001352	2	461	r	0	1	prodigal	v2.6.3
50	ERR4998600_000000001352	470	1637	r	0	1	prodigal	v2.6.3
51	ERR4998600_000000001352	1748	2909	r	0	1	prodigal	v2.6.3
52	ERR4998600_000000001352	2908	3088	r	1	1	prodigal	v2.6.3
53	ERR4998600_000000001491	0	1146	r	1	1	prodigal	v2.6.3
54	ERR4998600_000000001491	1181	1739	r	0	1	prodigal	v2.6.3
55	ERR4998600_000000001491	1868	2399	r	1	1	prodigal	v2.6.3
56	ERR4998600_000000001651	2	494	r	1	1	prodigal	v2.6.3
57	ERR4998600_000000001651	531	2271	f	1	1	prodigal	v2.6.3
58	ERR4998600_000000001760	2	680	r	1	1	prodigal	v2.6.3
59	ERR4998600_000000001760	944	1589	f	0	1	prodigal	v2.6.3
60	ERR4998600_000000001760	1679	2645	f	0	1	prodigal	v2.6.3
61	ERR4998600_000000001760	2668	2899	f	1	1	prodigal	v2.6.3
62	ERR4998600_000000001868	1	874	r	1	1	prodigal	v2.6.3
63	ERR4998600_000000001868	1165	1879	f	0	1	prodigal	v2.6.3
64	ERR4998600_000000001868	2013	2130	f	1	1	prodigal	v2.6.3
65	ERR4998600_000000002013	220	751	f	0	1	prodigal	v2.6.3
66	ERR4998600_000000002013	757	2020	f	0	1	prodigal	v2.6.3
67	ERR4998600_000000002013	2048	3167	f	0	1	prodigal	v2.6.3
68	ERR4998600_000000002013	3173	4337	f	0	1	prodigal	v2.6.3
69	ERR4998600_000000002013	4396	4693	f	1	1	prodigal	v2.6.3
70	ERR4998600_000000002130	1	1129	r	1	1	prodigal	v2.6.3
71	ERR4998600_000000002130	1128	2373	r	1	1	prodigal	v2.6.3
72	ERR4998600_000000002237	1	2548	f	1	1	prodigal	v2.6.3
73	ERR4998600_000000002237	2558	3335	r	0	1	prodigal	v2.6.3
74	ERR4998600_000000002237	3457	4267	f	0	1	prodigal	v2.6.3
75	ERR4998600_000000002237	4623	6498	f	0	1	prodigal	v2.6.3
76	ERR4998600_000000002237	6545	6731	f	0	1	prodigal	v2.6.3
77	ERR4998600_000000002237	6741	7692	f	0	1	prodigal	v2.6.3
78	ERR4998600_000000002237	7737	8253	f	0	1	prodigal	v2.6.3
79	ERR4998600_000000002237	8219	9401	f	1	1	prodigal	v2.6.3
80	ERR4998600_000000002365	2	1049	f	1	1	prodigal	v2.6.3
81	ERR4998600_000000002365	1048	1801	f	0	1	prodigal	v2.6.3
82	ERR4998600_000000002365	1805	4334	f	0	1	prodigal	v2.6.3
83	ERR4998600_000000002365	4424	5093	f	0	1	prodigal	v2.6.3
84	ERR4998600_000000002365	5104	6016	f	0	1	prodigal	v2.6.3
85	ERR4998600_000000002365	6012	7452	f	0	1	prodigal	v2.6.3
86	ERR4998600_000000002365	7534	7723	f	0	1	prodigal	v2.6.3
87	ERR4998600_000000002365	7728	8421	r	1	1	prodigal	v2.6.3
88	ERR4998600_000000002493	2	632	f	1	1	prodigal	v2.6.3
89	ERR4998600_000000002493	655	1936	r	0	1	prodigal	v2.6.3
90	ERR4998600_000000002493	1977	2124	r	1	1	prodigal	v2.6.3
91	ERR4998600_000000002601	0	159	r	1	1	prodigal	v2.6.3
92	ERR4998600_000000002601	177	549	r	0	1	prodigal	v2.6.3
93	ERR4998600_000000002601	699	918	r	0	1	prodigal	v2.6.3
94	ERR4998600_000000002601	1025	1772	r	0	1	prodigal	v2.6.3
95	ERR4998600_000000002601	1768	2440	r	0	1	prodigal	v2.6.3
96	ERR4998600_000000002601	2468	3752	r	0	1	prodigal	v2.6.3
97	ERR4998600_000000002601	3761	4223	r	1	1	prodigal	v2.6.3
98	ERR4998600_000000002727	339	792	r	0	1	prodigal	v2.6.3
99	ERR4998600_000000002727	842	1658	r	0	1	prodigal	v2.6.3
100	ERR4998600_000000002727	2458	2863	f	1	1	prodigal	v2.6.3
101	ERR4998600_000000002830	2	1049	r	1	1	prodigal	v2.6.3
102	ERR4998600_000000002830	1264	2419	r	1	1	prodigal	v2.6.3
103	ERR4998600_000000002944	1	1678	r	1	1	prodigal	v2.6.3
104	ERR4998600_000000002944	1688	2105	r	0	1	prodigal	v2.6.3
105	ERR4998600_000000003092	2	434	f	1	1	prodigal	v2.6.3
106	ERR4998600_000000003092	447	936	r	0	1	prodigal	v2.6.3
107	ERR4998600_000000003092	980	3218	r	0	1	prodigal	v2.6.3
108	ERR4998600_000000003092	3273	3927	r	0	1	prodigal	v2.6.3
109	ERR4998600_000000003243	1	133	f	1	1	prodigal	v2.6.3
110	ERR4998600_000000003243	269	716	r	0	1	prodigal	v2.6.3
111	ERR4998600_000000003243	843	1680	r	0	1	prodigal	v2.6.3
112	ERR4998600_000000003243	1686	2886	r	0	1	prodigal	v2.6.3
113	ERR4998600_000000003243	2885	3560	r	0	1	prodigal	v2.6.3
114	ERR4998600_000000003243	3556	4015	r	0	1	prodigal	v2.6.3
115	ERR4998600_000000003243	4163	5150	f	0	1	prodigal	v2.6.3
116	ERR4998600_000000003243	5146	5371	f	1	1	prodigal	v2.6.3
117	ERR4998600_000000003378	2	2246	f	1	1	prodigal	v2.6.3
118	ERR4998600_000000003488	1	394	r	1	1	prodigal	v2.6.3
119	ERR4998600_000000003488	390	1143	r	0	1	prodigal	v2.6.3
120	ERR4998600_000000003488	1224	1554	f	0	1	prodigal	v2.6.3
121	ERR4998600_000000003488	1598	2087	r	1	1	prodigal	v2.6.3
122	ERR4998600_000000003606	0	1275	f	1	1	prodigal	v2.6.3
123	ERR4998600_000000003606	1384	2332	f	0	1	prodigal	v2.6.3
124	ERR4998600_000000003606	2331	3303	f	0	1	prodigal	v2.6.3
125	ERR4998600_000000003606	3299	4454	f	0	1	prodigal	v2.6.3
126	ERR4998600_000000003606	4450	5323	f	0	1	prodigal	v2.6.3
127	ERR4998600_000000003606	5319	5721	f	0	1	prodigal	v2.6.3
128	ERR4998600_000000003606	5767	6997	f	0	1	prodigal	v2.6.3
129	ERR4998600_000000003606	7025	7439	f	0	1	prodigal	v2.6.3
130	ERR4998600_000000003606	7620	8040	f	1	1	prodigal	v2.6.3
131	ERR4998600_000000003749	0	834	f	1	1	prodigal	v2.6.3
132	ERR4998600_000000003749	901	1813	f	0	1	prodigal	v2.6.3
133	ERR4998600_000000003749	1883	2105	f	1	1	prodigal	v2.6.3
134	ERR4998600_000000003852	2	527	r	1	1	prodigal	v2.6.3
135	ERR4998600_000000003852	619	1327	r	0	1	prodigal	v2.6.3
136	ERR4998600_000000003852	1501	2290	r	1	1	prodigal	v2.6.3
137	ERR4998600_000000003966	1	751	f	1	1	prodigal	v2.6.3
138	ERR4998600_000000003966	832	1588	r	0	1	prodigal	v2.6.3
139	ERR4998600_000000003966	1684	2149	f	0	1	prodigal	v2.6.3
140	ERR4998600_000000003966	2173	2938	f	0	1	prodigal	v2.6.3
141	ERR4998600_000000003966	2934	3153	r	1	1	prodigal	v2.6.3
142	ERR4998600_000000004067	2	791	f	1	1	prodigal	v2.6.3
143	ERR4998600_000000004067	840	1518	f	0	1	prodigal	v2.6.3
144	ERR4998600_000000004067	1524	2739	f	0	1	prodigal	v2.6.3
145	ERR4998600_000000004067	2733	3591	r	0	1	prodigal	v2.6.3
146	ERR4998600_000000004067	3763	4258	r	0	1	prodigal	v2.6.3
