gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
0	ERR2683233_000000000011	1	1360	r	1	1	prodigal	v2.6.3
1	ERR2683233_000000000011	1359	1662	r	0	1	prodigal	v2.6.3
2	ERR2683233_000000000011	1792	2344	r	0	1	prodigal	v2.6.3
3	ERR2683233_000000000011	2345	3134	r	0	1	prodigal	v2.6.3
4	ERR2683233_000000000011	3286	3364	r	1	1	prodigal	v2.6.3
5	ERR2683233_000000000154	0	105	r	1	1	prodigal	v2.6.3
6	ERR2683233_000000000154	165	996	r	0	1	prodigal	v2.6.3
7	ERR2683233_000000000154	1279	2812	f	0	1	prodigal	v2.6.3
8	ERR2683233_000000000154	2909	3623	r	1	1	prodigal	v2.6.3
9	ERR2683233_000000000299	1	703	r	1	1	prodigal	v2.6.3
10	ERR2683233_000000000299	699	1134	r	0	1	prodigal	v2.6.3
11	ERR2683233_000000000299	1365	2013	r	1	1	prodigal	v2.6.3
12	ERR2683233_000000000444	1	1009	f	1	1	prodigal	v2.6.3
13	ERR2683233_000000000444	1075	2497	r	0	1	prodigal	v2.6.3
14	ERR2683233_000000000444	2573	2969	r	0	1	prodigal	v2.6.3
15	ERR2683233_000000000444	2991	3303	f	1	1	prodigal	v2.6.3
16	ERR2683233_000000000580	2	767	f	1	1	prodigal	v2.6.3
17	ERR2683233_000000000580	819	2064	f	1	1	prodigal	v2.6.3
18	ERR2683233_000000000703	2	398	r	1	1	prodigal	v2.6.3
19	ERR2683233_000000000703	655	1924	f	0	1	prodigal	v2.6.3
20	ERR2683233_000000000703	2082	2277	f	1	1	prodigal	v2.6.3
21	ERR2683233_000000000827	1	292	f	1	1	prodigal	v2.6.3
22	ERR2683233_000000000827	309	1296	f	0	1	prodigal	v2.6.3
23	ERR2683233_000000000827	1314	2097	f	0	1	prodigal	v2.6.3
24	ERR2683233_000000000827	2232	2382	r	0	1	prodigal	v2.6.3
25	ERR2683233_000000000827	2711	3107	f	0	1	prodigal	v2.6.3
26	ERR2683233_000000000827	3238	3982	f	0	1	prodigal	v2.6.3
27	ERR2683233_000000000827	4134	5154	f	0	1	prodigal	v2.6.3
28	ERR2683233_000000000827	5243	6227	r	0	1	prodigal	v2.6.3
29	ERR2683233_000000000827	6405	7341	f	0	1	prodigal	v2.6.3
30	ERR2683233_000000000827	7360	7870	f	1	1	prodigal	v2.6.3
31	ERR2683233_000000000960	348	1305	r	0	1	prodigal	v2.6.3
32	ERR2683233_000000000960	1693	1882	r	0	1	prodigal	v2.6.3
33	ERR2683233_000000000960	2116	2236	r	1	1	prodigal	v2.6.3
34	ERR2683233_000000001127	2	77	r	1	1	prodigal	v2.6.3
35	ERR2683233_000000001127	368	2432	r	0	1	prodigal	v2.6.3
36	ERR2683233_000000001127	2436	3351	r	0	1	prodigal	v2.6.3
37	ERR2683233_000000001127	3618	4458	r	0	1	prodigal	v2.6.3
38	ERR2683233_000000001127	4548	5460	r	0	1	prodigal	v2.6.3
39	ERR2683233_000000001127	5470	5890	r	0	1	prodigal	v2.6.3
40	ERR2683233_000000001127	5867	6350	r	0	1	prodigal	v2.6.3
