bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
student389_ERR4998601_Bin_00004	2645248	426	8748	69.77233293757648	47.88732394366197	2.816901408450704	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Palsa-1033	Palsa-1033 sp003152165
student389_ERR4998601_Bin_00005	628946	121	6362	46.70586928616821	44.73684210526316	0.0	Archaea	Halobacteriota	Bog-38	Bog-38	Bog-38	Bog-38	Bog-38 sp003170935
student389_ERR4998601_Bin_00006	825099	311	2557	66.97465660583197	47.88732394366197	5.633802816901408	Bacteria	Actinobacteriota	Thermoleophilia	UBA2241	UBA2241	PALSA-647	PALSA-647 sp003132585
student389_ERR4998601_Bin_00007	685525	247	2723	68.18998615301757	40.84507042253521	0.0	Bacteria	Actinobacteriota	Thermoleophilia	UBA2241	UBA2241	PALSA-647	PALSA-647 sp003132585
student389_ERR4998601_Bin_00008	805996	185	4804	70.95455991374229	42.25352112676056	1.408450704225352	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4		
student389_ERR4998601_Bin_00009	444521	99	4728	50.88321822761734	29.577464788732396	1.408450704225352	Archaea	Halobacteriota	Bog-38	Bog-38	Bog-38	Bog-38	Bog-38 sp003170935
student389_ERR4998601_Bin_00010	718112	292	2363	62.1062820830087	36.61971830985915	4.225352112676056	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	UBA700	UBA700 sp002298885
student389_ERR4998601_Bin_00011	683081	153	4781	66.34178998336418	32.394366197183096	0.0	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Fen-1039	
student389_ERR4998601_Bin_00012	2405239	539	5048	70.04870915181516	30.985915492957748	2.816901408450704	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Fen-1039	Fen-1039 sp003141455
student389_ERR4998601_Bin_00013	675249	143	5985	71.61347103268285	0.0	0.0							
student389_ERR4998601_Bin_00014	777972	119	8155	51.086724444333434	0.0	0.0	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	
student389_ERR4998601_Bin_00015	426513	77	6738	70.7028639589582	0.0	0.0	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Fen-1039	Fen-1039 sp003142755
student389_ERR4998601_Bin_00016	945115	381	2414	56.247475764105516	19.718309859154928	4.225352112676056	Archaea	Halobacteriota					
student389_ERR4998601_Bin_00017	557539	176	2969	44.081460999468725	0.0	0.0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	VadinHA17	LD21	LD21 sp003142255
student389_ERR4998601_Bin_00018	467369	172	2474	66.46084098362756	0.0	0.0							
student389_ERR4998601_Bin_00019	64487	24	2705	53.22612711712118	0.0	0.0	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Fen-7	Fen-7 sp003162615
student389_ERR4998601_Bin_00020	1079454	384	2606	68.54227990884408	0.0	0.0							
student389_ERR4998601_Bin_00021	608482	77	13100	69.41422204370575	0.0	0.0							
student389_ERR4998601_Bin_00022	9352	4	2383	54.05529607588897	0.0	0.0							
student389_ERR4998601_MAG_00001	2130729	75	41365	71.8914473770132	83.09859154929578	1.408450704225352	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Palsa-1033	Palsa-1033 sp003169655
student389_ERR4998601_MAG_00002	1114020	290	4018	49.21979383573169	71.05263157894737	5.2631578947368425	Archaea	Halobacteriota	Bog-38	Bog-38	Bog-38	Bog-38	Bog-38 sp003170935
student389_ERR4998601_MAG_00003	1739145	387	4929	69.51615848867641	64.78873239436619	5.633802816901408	Bacteria	Chloroflexota	Ellin6529	CSP1-4	CSP1-4	Fen-1039	Fen-1039 sp003165675
